review_id,customer_id,review_text,sentiment
REV-1,CUST-101601,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-2,CUST-102814,"Love the blender, exactly as described. Highly recommend to others.",positive
REV-3,CUST-103230,Customer support never responded about my desk lamp refund request.,negative
REV-4,CUST-104700,Delivery took way too long and the blender arrived damaged.,negative
REV-5,CUST-102114,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-6,CUST-102848,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-7,CUST-105421,"Fast delivery and the coffee maker works great, very happy with this purchase.",positive
REV-8,CUST-103352,"The wireless earbuds broke after one week, very disappointed with the quality.",negative
REV-9,CUST-103577,"Love the backpack, exactly as described. Highly recommend to others.",positive
REV-10,CUST-105317,"Great customer support when my sneakers had an issue, resolved quickly.",positive
REV-11,CUST-101811,"Overpriced for what you get, the backpack feels cheap and flimsy.",negative
REV-12,CUST-101583,"Would not recommend, the blender did not match the description at all.",negative
REV-13,CUST-102105,"Excellent quality wireless earbuds, exceeded my expectations. Will buy again!",positive
REV-14,CUST-103168,"Great customer support when my coffee maker had an issue, resolved quickly.",positive
REV-15,CUST-101361,"Fast delivery and the wireless earbuds works great, very happy with this purchase.",positive
REV-16,CUST-102992,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-17,CUST-103010,"Great customer support when my wireless earbuds had an issue, resolved quickly.",positive
REV-18,CUST-105461,Delivery took way too long and the blender arrived damaged.,negative
REV-19,CUST-104135,"Excellent quality office chair, exceeded my expectations. Will buy again!",positive
REV-20,CUST-101409,"Excellent quality desk lamp, exceeded my expectations. Will buy again!",positive
REV-21,CUST-105740,"Would not recommend, the wireless earbuds did not match the description at all.",negative
REV-22,CUST-104428,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-23,CUST-102757,The office chair arrived on time and packaging was perfect. Five stars.,positive
REV-24,CUST-102984,"Love the wireless earbuds, exactly as described. Highly recommend to others.",positive
REV-25,CUST-101054,"The phone case broke after one week, very disappointed with the quality.",negative
REV-26,CUST-101812,"Overpriced for what you get, the desk lamp feels cheap and flimsy.",negative
REV-27,CUST-101871,"Excellent quality sneakers, exceeded my expectations. Will buy again!",positive
REV-28,CUST-104069,"The desk lamp broke after one week, very disappointed with the quality.",negative
REV-29,CUST-105720,Customer support never responded about my coffee maker refund request.,negative
REV-30,CUST-104093,"Excellent quality office chair, exceeded my expectations. Will buy again!",positive
REV-31,CUST-104425,Customer support never responded about my backpack refund request.,negative
